Reference, Quantity, Value, Footprint, Datasheet, Digikey PN
C1 ,1,"22pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
C3 C4 ,2,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","P15797CT-ND"
C5 C6 ,2,"100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","BC5229CT-ND"
C7 C2 ,2,"0.1uF","Capacitor_SMD:C_1206_3216Metric","~","399-C1206C104K5RAC7800CT-ND"
J1 ,1,"DB9_Male","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~","AE10968-ND"
R1 ,1,"2.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R2 ,1,"27K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R3 R5 ,2,"33","Resistor_SMD:R_1206_3216Metric","~","P33ECT-ND"
R4 ,1,"5k","Resistor_SMD:R_1206_3216Metric","~","P5.1KECT-ND"
RV1 ,1,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","PTV09A-4225F-B104-ND"
TP1 TP4 TP3 TP2 ,4,"TestPoint","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~"
U3 U1 U2 U4 ,4,"SN74HCS00PWR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","296-SN74HCS00PWRCT-ND"
U5 U6 ,2,"PI6C49CB04AQ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","31-PI6C49CB04AQ2WEXCT-ND"
